"","Sample","Plot_Number","Plant","Plate","Well","Plot","Treatment","Zone","Percent_Moisture","Lat","Lon","Basel_Diameter_estimated","Half_Tree_Cover","Tree_Height","Trunk_Circumference"
"plate2-A08-ITS","S2H",2,"H",2,"A08","Sap002","Sapling","Plateau",5.444811482,-41.96944596,-71.46430501,5.2,44,123,16.3362818
"plate2-A09-ITS","C8C",8,"C",2,"A09","Con008","Control","Plateau",3.047794967,-41.96818298,-71.45782001,NA,NA,NA,NA
"plate2-A10-ITS","C15C",15,"C",2,"A10","Con015","Control","Plateau",3.846153846,-41.97137598,-71.46183302,NA,NA,NA,NA
"plate2-A11-ITS","C5 Soil",5,"Soil",2,"A11","Con005","Control","Plateau",2.799148797,-41.96641004,-71.46256601,NA,NA,NA,NA
"plate2-A12-ITS","S17Q",17,"Q",2,"A12","Sap017","Sapling","Plateau",10.25263674,-41.97000998,-71.46205497,5.3,68,129,16.65044106
"plate2-B01-ITS","P10Z",10,"Z",2,"B01","Pine010","Pine","Plateau",6.132414189,-41.96798902,-71.45368103,18,102,322,56.54866776
"plate2-B02-ITS","C9AE",9,"AE",2,"B02","Con009","Control","Plateau",NA,-41.96637802,-71.45568397,NA,NA,NA,NA
"plate2-B03-ITS","S11G",11,"G",2,"B03","Sap011","Sapling","Plateau",9.157673861,-41.96905696,-71.454769,3.5,41,80,10.99557429
"plate2-B04-ITS","C15J",15,"J",2,"B04","Con015","Control","Plateau",3.846153846,-41.97137598,-71.46183302,NA,NA,NA,NA
"plate2-B05-ITS","C7D",7,"D",2,"B05","Con007","Control","Plateau",3.613807983,-41.96816102,-71.46105099,NA,NA,NA,NA
"plate2-B06-ITS","S5O",5,"O",2,"B06","Sap005","Sapling","Plateau",3.585229712,-41.96759004,-71.46496299,2.7,46,93,8.482300165
"plate2-B07-ITS","P8J",8,"J",2,"B07","Pine008","Pine","Plateau",5.765694773,-41.96754101,-71.45763896,13,154,446,40.8407045
"plate2-B08-ITS","P1E",1,"E",2,"B08","Pine001","Pine","Plateau",3.038704669,-41.97056302,-71.46467004,29.6,182,395,93
"plate2-B09-ITS","S7Q",7,"Q",2,"B09","Sap007","Sapling","Plateau",7.205574913,-41.96786799,-71.45901402,3.9,45,75,12.25221135
"plate2-B10-ITS","P6J",6,"J",2,"B10","Pine006","Pine","Plateau",NA,-41.96749298,-71.46145298,14,93,250,43.98229715
"plate2-B11-ITS","C10AE",10,"AE",2,"B11","Con010","Control","Plateau",0.762559809,-41.96778601,-71.45405704,NA,NA,NA,NA
"plate2-B12-ITS","P13J",13,"J",2,"B12","Pine013","Pine","Plateau",9.351719765,-41.97135603,-71.45991004,11,97,220,34.55751919
"plate2-C01-ITS","P12Q",12,"Q",2,"C01","Pine012","Pine","Plateau",7.696457472,-41.97052798,-71.45868503,18,128,247,56.54866776
"plate2-C02-ITS","S15J",15,"J",2,"C02","Sap015","Sapling","Plateau",5.808047923,-41.97158402,-71.46218003,2.6,44,72,8.168140899
"plate2-C03-ITS","S2I",2,"I",2,"C03","Sap002","Sapling","Plateau",5.444811482,-41.96944596,-71.46430501,5.2,44,123,16.3362818
"plate2-C04-ITS","P12G",12,"G",2,"C04","Pine012","Pine","Plateau",7.696457472,-41.97052798,-71.45868503,18,128,247,56.54866776
"plate2-C05-ITS","S12T",12,"T",2,"C05","Sap012","Sapling","Plateau",5.976095618,-41.97022196,-71.45667999,3.2,42,104,10.05309649
"plate2-C06-ITS","C6P",6,"P",2,"C06","Con006","Control","Plateau",3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA
"plate2-C07-ITS","C2M2",2,"M2",2,"C07","Con002","Control","Plateau",3.988413547,-41.96976297,-71.46476702,NA,NA,NA,NA
"plate2-C08-ITS","C8B",8,"B",2,"C08","Con008","Control","Plateau",3.047794967,-41.96818298,-71.45782001,NA,NA,NA,NA
