"Treatment","Sample","plotNumber","Zone","underscore","Morphospecies","uniqueID","PlantSpecies","MYC","PlantFUNCT.group"
"Pine","Pine002",2,"Plateau","_","YellowFlower","Pine002_YellowFlower","Senecio agyreus","AM","flowering plant"
"Pine","Pine003",3,"Plateau","_","Grass","Pine003_Grass","Festuca sp","AM","grass"
"Pine","Pine003",3,"Plateau","_","Grass","Pine003_Grass","Festuca sp","AM","grass"
"Pine","Pine003",3,"Plateau","_","GreenShrub","Pine003_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine004",4,"Plateau","_","Cushion","Pine004_Cushion","Bolax gummifera","AM","flowering plant"
"Pine","Pine004",4,"Plateau","_","Grass","Pine004_Grass","Festuca sp","AM","grass"
"Pine","Pine004",4,"Plateau","_","GreenShrub","Pine004_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine004",4,"Plateau","_","RedAloe","Pine004_RedAloe","Poa sp","AM","grass"
"Pine","Pine005",5,"Plateau","_","Grass","Pine005_Grass","Festuca sp","AM","grass"
"Pine","Pine005",5,"Plateau","_","Grass","Pine005_Grass","Festuca sp","AM","grass"
"Pine","Pine005",5,"Plateau","_","GreenShrub","Pine005_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine005",5,"Plateau","_","GreenShrub","Pine005_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine005",5,"Plateau","_","RedAloe","Pine005_RedAloe","Poa sp","AM","grass"
"Pine","Pine005",5,"Plateau","_","Rosette","Pine005_Rosette","Viola sp","AM","flowering plant"
"Pine","Pine005",5,"Plateau","_","TallGreen","Pine005_TallGreen","","",""
"Pine","Pine006",6,"Plateau","_","Arugula","Pine006_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Pine","Pine006",6,"Plateau","_","Clover","Pine006_Clover","Oxalis adenophylla","AM","flowering plant"
"Pine","Pine006",6,"Plateau","_","Grass","Pine006_Grass","Festuca sp","AM","grass"
"Pine","Pine006",6,"Plateau","_","GreenShrub","Pine006_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine006",6,"Plateau","_","GreenShrub","Pine006_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine006",6,"Plateau","_","RedAloe","Pine006_RedAloe","Poa sp","AM","grass"
"Pine","Pine006",6,"Plateau","_","Rosette","Pine006_Rosette","Viola sp","AM","flowering plant"
"Pine","Pine006",6,"Plateau","_","YellowFlower","Pine006_YellowFlower","Senecio agyreus","AM","flowering plant"
"Pine","Pine007",7,"Plateau","_","Arugula","Pine007_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Pine","Pine007",7,"Plateau","_","FatGreen","Pine007_FatGreen","Perezia bellidifolia","AM","flowering plant"
"Pine","Pine007",7,"Plateau","_","Grass","Pine007_Grass","Festuca sp","AM","grass"
"Pine","Pine007",7,"Plateau","_","GreenShrub","Pine007_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine007",7,"Plateau","_","GreenShrub","Pine007_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine007",7,"Plateau","_","RedAloe","Pine007_RedAloe","Poa sp","AM","grass"
"Pine","Pine007",7,"Plateau","_","Rosette","Pine007_Rosette","Viola sp","AM","flowering plant"
"Pine","Pine007",7,"Plateau","_","TallRed","Pine007_TallRed","Euphrasia meiantha","NM","flowering plant"
"Pine","Pine007",7,"Plateau","_","YellowFlower","Pine007_YellowFlower","Senecio agyreus","AM","flowering plant"
"Pine","Pine008",8,"Plateau","_","FatGreen","Pine008_FatGreen","Perezia bellidifolia","AM","flowering plant"
"Pine","Pine008",8,"Plateau","_","FuzzyLeaf","Pine008_FuzzyLeaf","Erigeron sp","AM","flowering plant"
"Pine","Pine008",8,"Plateau","_","Grass","Pine008_Grass","Festuca sp","AM","grass"
"Pine","Pine008",8,"Plateau","_","GreenShrub","Pine008_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine008",8,"Plateau","_","RedAloe","Pine008_RedAloe","Poa sp","AM","grass"
"Pine","Pine008",8,"Plateau","_","Rosette","Pine008_Rosette","Viola sp","AM","flowering plant"
"Pine","Pine008",8,"Plateau","_","SmallShrub","Pine008_SmallShrub","Empetrum rubrum","ERM","evergreen shrub"
"Pine","Pine008",8,"Plateau","_","SpikeyGreen","Pine008_SpikeyGreen","Perezia piliffera /fonkii?","AM","flowering plant "
"Pine","Pine008",8,"Plateau","_","YellowFlower","Pine008_YellowFlower","Senecio agyreus","AM","flowering plant"
"Pine","Pine009",9,"Plateau","_","FuzzyLeaf","Pine009_FuzzyLeaf","Erigeron sp","AM","flowering plant"
"Pine","Pine009",9,"Plateau","_","Grass","Pine009_Grass","Festuca sp","AM","grass"
"Pine","Pine009",9,"Plateau","_","GreenShrub","Pine009_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine009",9,"Plateau","_","RedAloe","Pine009_RedAloe","Poa sp","AM","grass"
"Pine","Pine009",9,"Plateau","_","SmallShrub","Pine009_SmallShrub","Empetrum rubrum","ERM","evergreen shrub"
"Pine","Pine009",9,"Plateau","_","SpikeyGreen","Pine009_SpikeyGreen","Perezia piliffera /fonkii?","AM","flowering plant "
"Pine","Pine010",10,"Plateau","_","Grass","Pine010_Grass","Festuca sp","AM","grass"
"Pine","Pine010",10,"Plateau","_","GreenShrub","Pine010_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine010",10,"Plateau","_","RedAloe","Pine010_RedAloe","Poa sp","AM","grass"
"Pine","Pine010",10,"Plateau","_","SmallShrub","Pine010_SmallShrub","Empetrum rubrum","ERM","evergreen shrub"
"Pine","Pine010",10,"Plateau","_","TallRed","Pine010_TallRed","Euphrasia meiantha","NM","flowering plant"
"Pine","Pine011",11,"Plateau","_","Grass","Pine011_Grass","Festuca sp","AM","grass"
"Pine","Pine011",11,"Plateau","_","GreenShrub","Pine011_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine011",11,"Plateau","_","LeafyCushion","Pine011_LeafyCushion","Azorella sp","AM","flowering plant"
"Pine","Pine011",11,"Plateau","_","Mistery","Pine011_Mistery","Belloa chilensis","AM","flowering plant"
"Pine","Pine011",11,"Plateau","_","RedAloe","Pine011_RedAloe","Poa sp","AM","grass"
"Pine","Pine011",11,"Plateau","_","Rosette","Pine011_Rosette","Viola sp","AM","flowering plant"
"Pine","Pine012",12,"Plateau","_","Cilantro","Pine012_Cilantro","Sanicula graveolens","AM","flowering plant"
"Pine","Pine012",12,"Plateau","_","FatGreen","Pine012_FatGreen","Perezia bellidifolia","AM","flowering plant"
"Pine","Pine012",12,"Plateau","_","Grass","Pine012_Grass","Festuca sp","AM","grass"
"Pine","Pine012",12,"Plateau","_","GreenShrub","Pine012_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine012",12,"Plateau","_","SmallShrub","Pine012_SmallShrub","Empetrum rubrum","ERM","evergreen shrub"
"Pine","Pine012",12,"Plateau","_","SpikeyGreen","Pine012_SpikeyGreen","Perezia piliffera /fonkii?","AM","flowering plant "
"Pine","Pine012",12,"Plateau","_","TallSpike","Pine012_TallSpike","","",""
"Pine","Pine012",12,"Plateau","_","YellowFlower","Pine012_YellowFlower","Senecio agyreus","AM","flowering plant"
"Pine","Pine013",13,"Plateau","_","Dandelion","Pine013_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
