,Sample,Plot_Number,Plant,Plate,Well,Plot,C,pH,Pdisp,NH4,NO3,Morphospecies,Treatment,Zone,Percent_Moisture,Lat,Lon,Basel_Diameter_estimated,Half_Tree_Cover,Tree_Height,Trunk_Circumference,PlantSpecies,MYC,PlantFUNCT.group,PlantSpecies.1,MYC.1,PlantFUNCT.group.1,PlantFUNCT.group.2,uniqueID,LeafDryMass,LeafH20Weight,LWC,LDMC,MLA,SLA
44,C6D,6,D,3,H05,Con006,1.48,5.6,5.3,21,14.2,YellowFlower,Control,Plateau,3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA,Senecio agyreus,AM,flowering plant,Senecio agyreus,AM,flowering plant,flowering plant,Con006_YellowFlower,NA,NA,NA,NA,NA,NA
45,C7B,7,B,1,A03,Con007,1.61,5.5,7,28,16.7,Grass,Control,Plateau,3.613807983,-41.96816102,-71.46105099,NA,NA,NA,NA,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Con007_Grass,0.29,0.11,0.011,0.029,124.810355,0.430380535
46,C7A,7,A,3,E05,Con007,1.61,5.5,7,28,16.7,GreenShrub,Control,Plateau,3.613807983,-41.96816102,-71.46105099,NA,NA,NA,NA,Gaultheria pumila,ERM,evergreen shrub,Gaultheria pumila,ERM,evergreen shrub,evergreen shrub,Con007_GreenShrub,0.07,-0.35,-0.023333333,0.004666667,21.51230605,0.307318658
47,C7J,7,J,2,C12,Con007,1.61,5.5,7,28,16.7,RedAloe,Control,Plateau,3.613807983,-41.96816102,-71.46105099,NA,NA,NA,NA,Poa sp,AM,grass,Poa sp,AM,grass,grass,Con007_RedAloe,0.15,0.09,0.012857143,0.021428571,124.1417937,0.827611958
48,C7C,7,C,1,F02,Con007,1.61,5.5,7,28,16.7,Rosette,Control,Plateau,3.613807983,-41.96816102,-71.46105099,NA,NA,NA,NA,Viola sp,AM,flowering plant,Viola sp,AM,flowering plant,flowering plant,Con007_Rosette,NA,NA,NA,NA,NA,NA
49,C7H,7,H,2,A06,Con007,1.61,5.5,7,28,16.7,SpikeyCushion,Control,Plateau,3.613807983,-41.96816102,-71.46105099,NA,NA,NA,NA,Mulinum echinus,AM,dense spiny shrub,Mulinum echinus,AM,dense spiny shrub,shrub,Con007_SpikeyCushion,NA,NA,NA,NA,NA,NA
50,C7T,7,T,2,G12,Con007,1.61,5.5,7,28,16.7,SpikeyRose,Control,Plateau,3.613807983,-41.96816102,-71.46105099,NA,NA,NA,NA,Nassauvia revoluta,AM,flowering plant ,Nassauvia revoluta,AM,flowering plant ,flowering plant ,Con007_SpikeyRose,NA,NA,NA,NA,NA,NA
51,C7O,7,O,2,C09,Con007,1.61,5.5,7,28,16.7,TallRed,Control,Plateau,3.613807983,-41.96816102,-71.46105099,NA,NA,NA,NA,Euphrasia meiantha,NM,flowering plant,Euphrasia meiantha,NM,flowering plant,flowering plant,Con007_TallRed,0.01,0.02,0.000952381,0.00047619,13.57157872,1.357157872
52,C7D,7,D,2,B05,Con007,1.61,5.5,7,28,16.7,YellowFlower,Control,Plateau,3.613807983,-41.96816102,-71.46105099,NA,NA,NA,NA,Senecio agyreus,AM,flowering plant,Senecio agyreus,AM,flowering plant,flowering plant,Con007_YellowFlower,0.11,0.11,0.01,0.01,84.77332856,0.770666623
53,C8B,8,B,2,C08,Con008,1.63,5.7,6.6,14,19.6,Grass,Control,Plateau,3.047794967,-41.96818298,-71.45782001,NA,NA,NA,NA,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Con008_Grass,NA,NA,NA,NA,NA,NA
54,C8A,8,A,3,B10,Con008,1.63,5.7,6.6,14,19.6,GreenShrub,Control,Plateau,3.047794967,-41.96818298,-71.45782001,NA,NA,NA,NA,Gaultheria pumila,ERM,evergreen shrub,Gaultheria pumila,ERM,evergreen shrub,evergreen shrub,Con008_GreenShrub,0.1,0.07,0.002592593,0.003703704,17.08836747,0.170883675
55,C8C,8,C,2,A09,Con008,1.63,5.7,6.6,14,19.6,Rosette,Control,Plateau,3.047794967,-41.96818298,-71.45782001,NA,NA,NA,NA,Viola sp,AM,flowering plant,Viola sp,AM,flowering plant,flowering plant,Con008_Rosette,0.07,0.2,0.010526316,0.003684211,36.42199319,0.520314188
56,C8D,8,D,1,C01,Con008,1.63,5.7,6.6,14,19.6,YellowFlower,Control,Plateau,3.047794967,-41.96818298,-71.45782001,NA,NA,NA,NA,Senecio agyreus,AM,flowering plant,Senecio agyreus,AM,flowering plant,flowering plant,Con008_YellowFlower,0.14,0.31,0.018235294,0.008235294,55.58509905,0.397036422
57,C9B.2,9,B.2,4,C08,Con009,1.34,5.6,6.8,26.6,9.9,Grass,Control,Plateau,NA,-41.96637802,-71.45568397,NA,NA,NA,NA,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Con009_Grass,0.09,0.07,0.014,0.018,201.3573686,2.237304095
58,C9B.2,9,B.2,4,C08,Con009,1.34,5.6,6.8,26.6,9.9,Grass,Control,Plateau,NA,-41.96637802,-71.45568397,NA,NA,NA,NA,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Con009_Grass,0.09,0.07,0.005833333,0.0075,72.73831753,0.808203528
59,C9B.2,9,B.2,4,F08,Con009,1.34,5.6,6.8,26.6,9.9,Grass,Control,Plateau,NA,-41.96637802,-71.45568397,NA,NA,NA,NA,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Con009_Grass,0.09,0.07,0.014,0.018,201.3573686,2.237304095
60,C9B.2,9,B.2,4,F08,Con009,1.34,5.6,6.8,26.6,9.9,Grass,Control,Plateau,NA,-41.96637802,-71.45568397,NA,NA,NA,NA,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Con009_Grass,0.09,0.07,0.005833333,0.0075,72.73831753,0.808203528
